job_location,search_city,search_country,job_level,job_type,job_name,languages,certifications,soft_skills,programming_languages,technologies,academic_degrees,knowledge
Windy Hill- GA,Bethlehem,United States,Mid senior,Hybrid,BackEnd Software Engineer,No found,No found,Interpersonal Skills-Leadership-Organization-Adaptability-Creativity-Communication-Teamwork,Go-SQL-Java,Google Cloud-AWS-Azure-Spring,No found,Testing-Databases-Security-Agile-Cloud Computing-Software Architecture
Windy Hill- GA,Bethlehem,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Problem Solving-Leadership-Organization-Adaptability-Creativity-Communication-Teamwork,No found,No found,No found,Agile-Security-Databases-Data Science
Windy Hill- GA,Bethlehem,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Problem Solving-Leadership-Organization-Adaptability-Creativity-Communication-Teamwork,Java,AWS-Spring-Azure-RESTful APIs-Google Cloud-SOAP,No found,Security-Databases-Agile-Cloud Computing-Software Architecture
North Charleston- SC,Charleston,United States,Mid senior,Onsite,Quality Software Engineer,No found,No found,No found,No found,No found,No found,Testing
Charleston- SC,Charleston,United States,Mid senior,Onsite,Software Engineer,English,No found,Communication-Leadership-Teamwork-Problem Solving,Java-Perl-SQL-Shell-Python,No found,No found,Databases-Data Science
North Charleston- SC,Charleston,United States,Mid senior,Hybrid,Security Software Engineer,No found,No found,Leadership-Teamwork-Adaptability-Creativity,SQL-Shell-Ruby-Python,Ansible-Django-Puppet-Chef-MySQL-Angular-MongoDB-PostgreSQL-Jenkins-Flask,No found,Testing-Security-Databases-Networking-Agile-Web Development-CI CD
North Charleston- SC,Charleston,United States,Mid senior,Hybrid,Security Software Engineer,No found,No found,Leadership-Teamwork-Adaptability-Creativity,No found,No found,No found,Testing-Security
Charleston- SC,Charleston,United States,Mid senior,Hybrid,Security Software Engineer,No found,No found,Leadership,TypeScript,Hadoop,No found,Databases-Cloud Computing-Software Architecture
Charleston- SC,Charleston,United States,Mid senior,Hybrid,Software Developer,No found,No found,Problem Solving-Leadership-Organization-Adaptability-Decision Making-Communication-Teamwork,SQL,No found,No found,Databases
Manchester- England- United Kingdom,Burnley,United Kingdom,Associate,Hybrid,Software Engineer,No found,No found,Organization-Adaptability-Creativity-Communication-Teamwork,No found,Chef-Ansible-Jenkins,No found,Agile-DevOps-CI CD-Version Control
Huddersfield- England- United Kingdom,Burnley,United Kingdom,Mid senior,Onsite,Software Engineer,No found,No found,Leadership-Teamwork,No found,No found,Masters,Security-Data Science
Manchester Area- United Kingdom,Burnley,United Kingdom,Mid senior,Onsite,Software Engineer,No found,No found,No found,No found,Azure,No found,DevOps-Version Control-Cloud Computing
Manchester- England- United Kingdom,Burnley,United Kingdom,Mid senior,Onsite,Software Engineer,No found,No found,Teamwork,JavaScript,React-AWS-Jenkins,Bachelors,Web Development-Cloud Computing-Software Architecture
Greater Burnley Area,Burnley,United Kingdom,Mid senior,Onsite,Software Engineer,No found,No found,Leadership-Teamwork-Creativity,No found,No found,No found,No found
Manchester- England- United Kingdom,Burnley,United Kingdom,Mid senior,Onsite,Software Engineer,Turkish,No found,Leadership-Teamwork-Creativity,Java,No found,No found,Agile-Web Development
Bensalem- PA,Camden,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Problem Solving-Teamwork-Creativity,SQL,RESTful APIs,No found,Databases-Web Development
Detroit- MI,Windsor,Canada,Mid senior,Onsite,Software Engineer,No found,No found,Teamwork,Java,Spring-Jenkins,No found,Agile-DevOps-CI CD-Version Control
Detroit- MI,Windsor,Canada,Mid senior,Remote,BackEnd Software Engineer,No found,No found,Communication-Leadership-Teamwork-Adaptability,Java-Python,RESTful APIs-AWS-Kubernetes,No found,Cloud Computing-Data Science
Windsor- Ontario- Canada,Windsor,Canada,Mid senior,Remote,Software Engineer,No found,No found,Leadership-Teamwork-Adaptability,No found,Spark-RESTful APIs,PhD,Databases-Data Science
Detroit- MI,Windsor,Canada,Mid senior,Remote,Software Engineer,No found,No found,Communication-Problem Solving-Teamwork,No found,Kubernetes-Docker-RESTful APIs,No found,Networking-Testing-Security
Detroit- MI,Windsor,Canada,Mid senior,Remote,BackEnd Software Engineer,No found,No found,Leadership-Teamwork-Adaptability,No found,RESTful APIs,No found,Data Science
Windsor- Ontario- Canada,Windsor,Canada,Mid senior,Remote,Software Engineer,No found,No found,Organization-Teamwork-Adaptability,No found,RESTful APIs,No found,Testing-Cloud Computing
Dearborn- MI,Windsor,Canada,Mid senior,Hybrid,Software Engineer,No found,No found,Interpersonal Skills-Teamwork,SQL-JavaScript,Vue.js-React-Angular-Jenkins-Google Cloud,No found,Databases-Agile-Web Development-Cloud Computing-TDD
Farmington Hills- MI,Windsor,Canada,Mid senior,Hybrid,Software Engineer,No found,No found,Communication-Teamwork,No found,No found,No found,Testing
Detroit Metropolitan Area,Windsor,Canada,Mid senior,Hybrid,Software Engineer,No found,No found,Communication-Leadership-Teamwork,No found,No found,No found,Agile-Testing-Version Control-Project Management
Detroit- MI,Windsor,Canada,Mid senior,Hybrid,Software Engineer,No found,No found,Leadership-Teamwork,Go-Shell-Perl-Python,Node.js-Jenkins,No found,DevOps-CI CD-Security-Software Architecture
Detroit Metropolitan Area,Windsor,Canada,Mid senior,Hybrid,Software Engineer,No found,No found,Organization-Communication-Leadership-Teamwork,No found,No found,No found,Agile-Version Control-Project Management
Detroit Metropolitan Area,Windsor,Canada,Mid senior,Hybrid,Software Engineer,No found,No found,Organization-Communication-Leadership-Teamwork,No found,No found,No found,Agile-Testing-Version Control-Project Management
Dearborn- MI,Windsor,Canada,Mid senior,Hybrid,Software Engineer,No found,No found,Organization-Communication-Problem Solving-Teamwork,SQL,No found,No found,Agile-Testing-CI CD-Databases
Columbia- SC,Columbia,United States,Mid senior,Onsite,BackEnd Software Engineer,No found,No found,Teamwork,Java-Go-SQL-Scala-JavaScript-Python,AWS-Kubernetes-Node.js-Azure-Docker-Google Cloud,No found,Agile-Web Development-Databases-Cloud Computing
Columbia- SC,Columbia,United States,Mid senior,Onsite,Software Developer,No found,No found,Interpersonal Skills-Leadership-Organization-Adaptability-Empathy-Communication-Critical Thinking-Teamwork,Ruby-Java-CSS-SQL-HTML-PHP-JavaScript-Python,React-PostgreSQL-Ruby on Rails-Spring,No found,Agile-Web Development-Databases-Version Control
Columbia- SC,Columbia,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork-Creativity,TypeScript-Java-CSS-SQL-HTML-JavaScript,AWS-Vue.js-Node.js-Azure-Angular-Google Cloud,No found,Databases-Agile-Web Development-Cloud Computing-Software Architecture
Columbia- SC,Columbia,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork-Creativity,TypeScript-Java-Go-SQL-JavaScript-Python,Google Cloud-AWS-Azure,No found,Databases-Agile-Web Development-Cloud Computing-Software Architecture
Columbia- SC,Columbia,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork,TypeScript-Java-CSS-Go-SQL-HTML-JavaScript-Python,AWS-MySQL-Azure-PostgreSQL-Google Cloud,No found,Databases-Agile-Web Development-Cloud Computing-Software Architecture
South Carolina- United States,Columbia,United States,Mid senior,Remote,Software Engineer,No found,No found,Teamwork-Adaptability,Java,Google Cloud-AWS-Azure,No found,Security-Databases-Project Management-Cloud Computing-CI CD
South Carolina- United States,Columbia,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Organization-Adaptability-Empathy-Communication-Work Ethic-Teamwork,TypeScript-JavaScript,React-Angular,No found,Testing-Security-Data Science-Web Development-CI CD
